37403 0 0 0 37 . . . 45 . . 30 . . . 30 . . 30 . . . 57 . . 60 . . . 30 . . 3 . . . 1 . . 0 . . . 1 . . 0 . . . 1 . . 1 . . . 0 . . 2 . . . 1 . . 0 . . . 0 . . 97 . . . 146 . . . . . . . . . 0 . . . 0 . . 0 . . . 0 . .
38202 1 0 1 27 38 . . . . . 19 36 . . . . . 26 37 . . . . . 3 90 . . . . . 1 1 . . . . . 0 1 . . . . . 1 2 . . . . . 1 4 . . . . . 0 0 . . . . . 0 1 . . . . . 89 113 . . . . . 0 0 . . . . . 0 0 . . . . . 1 0 . . . . .
38802 0 0 0 . . 38 . 43 . . . . 23 . 28 . . . . 23 . 23 . . . . 160 . 70 . . . . 3 . 1 . . . . 4 . 4 . . . . 4 . 0 . . . . 4 . 2 . . . . 1 . 0 . . . . 0 . 0 . . . . 120 . 145 . . . . . . . . . . . 1 . 1 . . . . 3 . 0 . .
40501 0 0 2 . 42 . . 52 . . . 29 . . 44 . . . 31 . . 46 . . . 90 . . 100 . . . 0 . . 1 . . . 1 . . 2 . . . 3 . . 3 . . . 5 . . 3 . . . 0 . . 0 . . . 0 . . 1 . . . 103 . . 127 . . . . . . . . . . 1 . . 1 . . . 1 . . 2 . .
40702 0 0 0 46 . 52 . 60 . . 40 . 55 . 55 . . 46 . 59 . 67 . . 0 . 10 . 0 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 0 . 1 . 0 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 93 . 117 . 140 . . . . . . . . . 1 . 1 . 1 . . 0 . 0 . 0 . .
42504 0 0 3 . . 47 . 64 . . . . 47 . 51 . . . . 61 . 76 . . . . 180 . 140 . . . . 3 . 3 . . . . 5 . 4 . . . . 5 . 4 . . . . 3 . 3 . . . . 2 . 2 . . . . 0 . 0 . . . . 126 . 150 . . . . . . . . . . . 1 . 1 . . . . 4 . 4 . .
42505 1 0 0 . 50 . 60 . 53 . . 50 . 42 . 50 . . 65 . 64 . 73 . . 80 . 60 . 50 . . 1 . 0 . 0 . . 2 . 2 . 1 . . 2 . 2 . 1 . . 3 . 1 . 3 . . 0 . 1 . 1 . . 0 . 0 . 0 . . 108 . 131 . 154 . . 0 . 0 . 0 . . 1 . 1 . 1 . . 1 . 1 . 0 .
43103 1 0 3 . . . . 62 . 66 . . . . 59 . 59 . . . . 76 . 73 . . . . 70 . 60 . . . . 0 . 0 . . . . 4 . 3 . . . . 3 . 3 . . . . 0 . 0 . . . . 1 . 1 . . . . 0 . 0 . . . . 147 . 170 . . . . 1 . 1 . . . . 1 . 1 . . . . 3 . 2
45201 0 0 3 40 . 63 . 64 . . 37 . 41 . 51 . . 37 . 41 . 51 . . 90 . 90 . 100 . . 1 . 2 . 3 . . 3 . 0 . 2 . . 2 . 4 . 3 . . 3 . 3 . 2 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 97 . 121 . 145 . . . . . . . . . 1 . 1 . 1 . . 1 . 3 . 3 . .
45903 0 0 2 . 65 . . 66 . . . 54 . . 68 . . . 47 . . 82 . . . 70 . . 120 . . . 2 . . 3 . . . 0 . . 0 . . . 3 . . 5 . . . 1 . . 2 . . . 0 . . 0 . . . 1 . . 2 . . . 109 . . 132 . . . . . . . . . . 1 . . 1 . . . 1 . . 4 . .
46201 0 0 0 . 51 . 66 . 79 . . 48 . 64 . 73 . . 53 . 75 . 81 . . 60 . 0 . 0 . . 0 . 0 . 0 . . 1 . 0 . 0 . . 2 . 0 . 0 . . 2 . 0 . 0 . . 1 . 0 . 0 . . 0 . 0 . 0 . . 109 . 134 . 157 . . . . . . . . . 1 . 1 . 1 . . 0 . 0 . 0 .
47201 0 0 3 58 . 63 . . . . 48 . 56 . . . . 47 . 62 . . . . 60 . 20 . . . . 1 . 0 . . . . 0 . 1 . . . . 1 . 0 . . . . 2 . 1 . . . . 1 . 0 . . . . 1 . 0 . . . . 100 . 123 . . . . . . . . . . . 1 . 1 . . . . 0 . 0 . . . .
47402 0 0 2 . . 45 . 54 . . . . 43 . 52 . . . . 39 . 59 . . . . 150 . 220 . . . . 5 . 5 . . . . 0 . 5 . . . . 3 . 5 . . . . 4 . 5 . . . . 1 . 3 . . . . 2 . 2 . . . . 112 . 157 . . . . . . . . . . . 0 . 1 . . . . 2 . 6 . .
47601 1 1 1 32 . 48 . . . 58 38 . 49 . . . 49 48 . 60 . . . 72 80 . 50 . . . 40 1 . 1 . . . 0 1 . 1 . . . 1 4 . 1 . . . 3 1 . 0 . . . 0 1 . 2 . . . 0 0 . 0 . . . 0 92 . 115 . . . 164 0 . 0 . . . 1 1 . 1 . . . 1 3 . 1 . . . 2
48502 0 0 0 29 . . . 58 . . 28 . . . 47 . . 36 . . . 64 . . 20 . . . 0 . . 0 . . . 0 . . 1 . . . 0 . . 1 . . . 0 . . 0 . . . 0 . . 0 . . . 0 . . 0 . . . 0 . . 100 . . . 149 . . . . . . . . . 1 . . . 1 . . 1 . . . 0 . .
49501 0 0 3 35 . 50 . . . . 35 . 43 . . . . 47 . 55 . . . . 130 . 100 . . . . 3 . 2 . . . . 2 . 1 . . . . 4 . 3 . . . . 2 . 0 . . . . 1 . 1 . . . . 1 . 3 . . . . 97 . 120 . . . . . . . . . . . 1 . 1 . . . . 3 . 2 . . . .
53601 1 0 2 . 38 . . 45 . . . 41 . . 45 . . . 39 . . 57 . . . 210 . . 230 . . . 4 . . 5 . . . 5 . . 5 . . . 5 . . 5 . . . 3 . . 5 . . . 3 . . 4 . . . 1 . . 3 . . . 105 . . 149 . . . 0 . . 1 . . . 0 . . 1 . . . 4 . . 5 . .
55201 0 0 3 . . . 65 . 69 . . . . 49 . 56 . . . . 59 . 55 . . . . 100 . 120 . . . . 0 . 1 . . . . 1 . 2 . . . . 4 . 4 . . . . 2 . 3 . . . . 1 . 0 . . . . 2 . 2 . . . . 136 . 160 . . . . . . . . . . . 1 . 1 . . . . 2 . 3 .
55801 1 0 1 . . 43 . 52 63 . . . 32 . 52 67 . . . 44 . 70 67 . . . 30 . 60 50 . . . 0 . 0 0 . . . 0 . 1 1 . . . 1 . 3 3 . . . 1 . 1 1 . . . 1 . 0 1 . . . 0 . 1 0 . . . 111 . 135 159 . . . 0 . 0 1 . . . 1 . 1 1 . . . 1 . 3 2 .
56301 1 0 3 . 24 . 45 . 55 . . 40 . 50 . 51 . . 39 . 47 . 58 . . 14 . 6 . 70 . . 0 . 0 . 0 . . 3 . 0 . 2 . . 5 . 2 . 2 . . 3 . 0 . 1 . . 3 . 4 . 2 . . 0 . 0 . 0 . . 104 . 129 . 152 . . 0 . 0 . 0 . . 0 . 0 . 0 . . 2 . 1 . 2 .
