Gender,Age,ReligionFaith,RCI1,RCI2,RCI3,RCI4,RCI5,RCI6,RCI7,RCI8,RCI9,RCI10,HFS1,HFS2,HFS3,HFS4,HFS5,HFS6,HFS7,HFS8,HFS9,HFS10,HFS11,HFS12,HFS13,HFS14,HFS15,HFS16,HFS17,HFS18,DV1,DV2,DV3,PT1,PT2,PT3,HFS2r,HFS4r,HFS6r,HFS7r,HFS9r,HFS11r,HFS13r,HFS15r,HFS17r,TotalRCI,TotalDV,TotalPT,TotalHFS,TotalHFSSelf
1,42,Christian,5,5,5,5,5,5,5,5,5,5,7,1,7,1,7,1,1,7,1,6,4,6,2,6,2,6,1,7,4,4,4,7,5,5,7,7,7,7,7,4,6,6,7,50,12,17,117,42
1,37,Other Spiritual,5,4,5,4,5,5,5,5,5,4,3,6,3,7,3,7,2,6,3,4,5,6,3,6,3,7,7,3,4,2,4,7,7,6,2,1,1,6,5,3,5,5,1,47,10,20,70,13
0,42,Other Spiritual,5,3,4,4,5,4,2,5,5,5,2,7,2,6,1,7,2,6,2,6,2,6,2,7,1,7,1,7,3,2,4,7,7,5,1,2,1,6,6,6,6,7,7,42,9,19,86,9
1,24,Christian,3,3,5,5,4,5,3,5,5,4,2,7,1,6,2,7,4,7,6,5,7,3,2,6,5,7,7,7,4,2,4,6,7,5,1,2,1,4,2,1,6,3,1,42,10,18,61,9
0,46,Christian,1,2,2,1,5,1,2,1,1,1,7,1,7,1,7,1,1,7,1,5,4,7,1,7,7,6,6,6,2,2,2,4,3,1,7,7,7,7,7,4,7,1,2,17,6,8,108,42
1,24,Christian,2,1,3,3,3,1,2,2,1,1,7,1,6,1,7,1,3,2,5,2,5,4,3,6,3,5,2,5,4,4,3,4,3,3,7,7,7,5,3,3,5,5,6,19,11,10,92,41
1,67,Christian,2,3,1,1,3,1,1,2,1,2,6,1,5,2,7,1,5,2,4,4,2,5,2,6,3,4,2,6,3,2,2,2,3,3,7,6,7,3,4,6,6,5,6,17,7,8,95,38
0,74,Christian,4,5,4,3,5,4,5,3,5,5,2,6,1,7,1,7,3,5,2,7,1,5,4,2,5,3,6,3,4,2,3,7,6,5,2,1,1,5,6,7,4,3,2,43,9,18,60,8
0,57,Christian,4,5,4,3,5,3,5,5,5,4,3,6,1,6,1,7,4,5,2,6,4,2,6,3,6,2,4,3,3,2,4,6,7,7,2,2,1,4,6,4,2,2,4,43,9,20,53,10
1,67,Christian,4,3,4,4,3,4,4,5,4,3,2,6,3,7,3,5,2,5,2,6,4,3,6,3,5,2,6,3,3,2,3,6,7,5,2,1,3,6,6,4,2,3,2,38,8,18,59,14
1,33,Other Spiritual,2,1,3,3,3,1,1,2,1,1,7,2,7,1,7,1,2,5,2,6,2,6,3,6,1,7,3,5,3,3,3,4,4,3,6,7,7,6,6,6,5,7,5,18,9,11,111,41
1,39,Christian,4,5,5,5,5,4,5,3,5,4,5,5,6,4,6,3,2,6,3,5,3,6,2,6,4,5,5,6,4,4,4,6,5,5,3,4,5,6,5,5,6,4,3,45,12,16,92,29
1,67,Christian,3,5,5,5,5,5,5,5,5,5,4,5,7,2,4,6,1,7,1,7,1,6,1,7,5,7,2,7,4,4,4,6,6,7,3,6,2,7,7,7,7,3,6,48,12,19,104,26
1,35,Christian,2,2,2,2,1,2,2,2,1,1,7,1,7,2,6,1,3,6,4,5,4,7,2,5,3,5,3,5,3,3,2,4,4,2,7,6,7,5,4,4,6,5,5,17,8,10,102,40
0,37,Christian,2,2,1,2,2,1,2,1,1,1,7,1,6,2,7,2,2,3,5,3,4,4,5,5,4,5,3,4,3,2,3,3,5,4,7,6,6,6,3,4,3,4,5,15,8,12,88,39
1,22,Other Spiritual,2,1,3,3,2,2,3,2,2,2,6,2,7,2,7,1,5,3,5,4,2,5,2,5,4,6,3,5,3,1,3,5,3,3,6,6,7,3,3,6,6,4,5,22,7,11,94,39
