stress,anxiety,depression,rosenberg,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_ts
7,6,6,29,21,17,19,11,9,9,106
7,2,1,34,18,12,17,13,7,8,97
6,5,3,33,25,13,13,7,6,9,107
12,11,16,22,18,16,16,10,18,14,86
7,5,2,35,17,15,14,18,14,14,78
7,6,8,32,23,19,16,12,11,14,99
7,5,7,29,16,9,12,10,9,10,86
10,8,8,26,15,12,10,15,13,15,72
10,9,6,31,13,13,17,19,7,5,90
7,0,2,28,18,15,13,14,15,13,82
10,2,3,34,12,19,17,21,8,12,85
9,6,3,35,15,11,14,15,9,8,86
17,12,15,22,14,14,16,20,16,16,70
13,6,7,24,10,9,9,20,17,18,51
11,1,8,22,11,13,10,18,15,13,66
12,8,13,23,14,12,13,19,15,13,70
9,7,3,27,13,11,11,16,13,11,73
8,8,5,29,13,12,13,12,9,7,88
6,3,3,29,16,12,15,14,10,9,88
7,4,9,22,14,9,12,19,13,15,66
4,1,1,26,14,11,12,15,13,14,73
10,5,10,28,15,8,12,16,16,14,67
11,11,10,14,7,6,13,23,18,16,47
7,6,4,29,19,13,15,13,10,10,92
8,7,7,27,15,10,10,15,13,13,72
3,2,6,29,20,8,14,11,11,14,84
5,2,8,31,18,18,18,10,8,9,105
10,3,7,27,11,8,13,20,16,17,57
10,6,7,22,11,10,11,18,16,16,60
6,5,7,29,19,9,15,13,6,6,96
15,11,12,21,6,6,9,23,20,14,42
2,0,2,36,19,12,17,5,4,4,113
11,6,9,23,13,14,15,20,15,11,74
10,6,4,31,12,12,10,17,18,18,59
9,11,10,28,18,15,13,15,16,10,83
4,3,4,30,19,15,15,9,9,7,102
7,1,2,39,20,16,17,14,8,12,97
11,7,5,30,17,11,11,11,9,18,79
4,5,9,25,11,11,13,20,11,10,72
15,6,21,15,10,11,10,24,14,18,53
11,10,7,30,16,13,11,16,18,12,72
18,9,17,21,9,13,6,24,19,20,43
10,10,11,21,10,8,7,22,18,20,43
14,14,11,27,13,15,8,20,17,17,60
7,3,6,36,18,11,14,10,9,7,95
10,7,11,31,12,6,12,18,15,15,60
13,12,12,23,12,12,19,18,16,8,79
11,8,9,25,19,16,16,14,11,12,92
5,4,5,33,23,20,20,11,7,8,115
7,8,6,28,15,17,11,10,13,14,84
10,6,11,18,12,13,14,19,10,14,74
11,2,7,28,18,16,13,17,11,14,83
8,8,6,28,20,13,16,13,13,9,92
